Altium Designer Pick and Place Locations
D:\myJob\Company\EL-TECH\006_Robot\Work\Mount\Array\Pick Place\Pick Place for robot.csv

========================================================================================================================
File Design Information:

Date:       16-10-23
Time:       08:23
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R38","100R","TopLayer","RES-1608","91.0000","-19.5000","0","Register"
"R37","100R","TopLayer","RES-1608","91.0000","-26.0000","0","Register"
"R36","100R","TopLayer","RES-1608","91.0000","-32.5000","0","Register"
"R35","100R","TopLayer","RES-1608","91.0000","-39.0000","0","Register"
"R34","100R","TopLayer","RES-1608","91.0000","-21.0000","0","Register"
"R33","100R","TopLayer","RES-1608","91.0000","-27.5000","180","Register"
"R32","100R","TopLayer","RES-1608","91.0000","-34.0000","180","Register"
"R31","100R","TopLayer","RES-1608","91.0000","-40.5000","180","Register"
"CN16","37212-62M3-003 PL","TopLayer","37212-62M3-003PL","100.0000","-32.7500","90","EC-3SP4, IOLINK"
"D17","DIODE-TRANSIL-UNI","TopLayer","SMBJ50","-104.0000","45.0000","180",""
"D32F","RED","TopLayer","LED-1608R","23.5000","17.0000","270","LED"
"D32E","RED","TopLayer","LED-1608R","42.5000","17.0000","270","LED"
"D32D","RED","TopLayer","LED-1608R","61.5000","17.0000","270","LED"
"D32C","RED","TopLayer","LED-1608R","80.5000","17.0000","270","LED"
"D32B","RED","TopLayer","LED-1608R","99.5000","17.0000","270","LED"
"D32A","RED","TopLayer","LED-1608R","118.5000","17.0000","270","LED"
"D31F","GREEN","TopLayer","LED-1608G","23.5000","31.0000","90","LED"
"D31E","GREEN","TopLayer","LED-1608G","42.5000","31.0000","90","LED"
"D31D","GREEN","TopLayer","LED-1608G","61.5000","31.0000","90","LED"
"D31C","GREEN","TopLayer","LED-1608G","80.5000","31.0000","90","LED"
"D31B","GREEN","TopLayer","LED-1608G","99.5000","31.0000","90","LED"
"D31A","GREEN","TopLayer","LED-1608G","118.5000","31.0000","90","LED"
"R72F","1K","TopLayer","RES-1608","25.0000","17.0000","270","Register"
"R72E","1K","TopLayer","RES-1608","44.0000","17.0000","270","Register"
"R72D","1K","TopLayer","RES-1608","63.0000","17.0000","270","Register"
"R72C","1K","TopLayer","RES-1608","82.0000","17.0000","270","Register"
"R72B","1K","TopLayer","RES-1608","101.0000","17.0000","270","Register"
"R72A","1K","TopLayer","RES-1608","120.0000","17.0000","270","Register"
"R71F","1K","TopLayer","RES-1608","25.0000","31.0000","90","Register"
"R71E","1K","TopLayer","RES-1608","44.0000","31.0000","90","Register"
"R71D","1K","TopLayer","RES-1608","63.0000","31.0000","90","Register"
"R71C","1K","TopLayer","RES-1608","82.0000","31.0000","90","Register"
"R71B","1K","TopLayer","RES-1608","101.0000","31.0000","90","Register"
"R71A","1K","TopLayer","RES-1608","120.0000","31.0000","90","Register"
"CN15","37206-62B3-004","TopLayer","37208-62B3-004PL","55.0000","40.2500","270","Connector"
"R28","0R","TopLayer","RES-1608","-97.5000","24.6048","270","Register"
"CN13","37206-62B3-004","TopLayer","37208-62B3-004PL","17.0000","40.2500","270","Connector"
"CN12","37206-62B3-004","TopLayer","37208-62B3-004PL","93.0000","40.2500","270","Connector"
"R27F","10K(NC)","TopLayer","RES-1608","13.0000","17.0000","90","Register"
"R27E","10K(NC)","TopLayer","RES-1608","32.0000","17.0000","90","Register"
"R27D","10K(NC)","TopLayer","RES-1608","51.0000","17.0000","90","Register"
"R27C","10K(NC)","TopLayer","RES-1608","70.0000","17.0000","90","Register"
"R27B","10K(NC)","TopLayer","RES-1608","89.0000","17.0000","90","Register"
"R27A","10K(NC)","TopLayer","RES-1608","108.0000","17.0000","90","Register"
"R24F","10K(NC)","TopLayer","RES-1608","14.5000","17.0000","90","Register"
"R24E","10K(NC)","TopLayer","RES-1608","33.5000","17.0000","90","Register"
"R24D","10K(NC)","TopLayer","RES-1608","52.5000","17.0000","90","Register"
"R24C","10K(NC)","TopLayer","RES-1608","71.5000","17.0000","90","Register"
"R24B","10K(NC)","TopLayer","RES-1608","90.5000","17.0000","90","Register"
"R24A","10K(NC)","TopLayer","RES-1608","109.5000","17.0000","90","Register"
"R19F","10K(NC)","TopLayer","RES-1608","16.0000","17.0000","90","Register"
"R19E","10K(NC)","TopLayer","RES-1608","35.0000","17.0000","90","Register"
"R19D","10K(NC)","TopLayer","RES-1608","54.0000","17.0000","90","Register"
"R19C","10K(NC)","TopLayer","RES-1608","73.0000","17.0000","90","Register"
"R19B","10K(NC)","TopLayer","RES-1608","92.0000","17.0000","90","Register"
"R19A","10K(NC)","TopLayer","RES-1608","111.0000","17.0000","90","Register"
"RLY5","RELAY_HR91C_24V","TopLayer","HR91C","46.0001","-27.0201","270","Relay"
"RLY4","RELAY_HR91C_24V","TopLayer","HR91C","34.5001","-27.0201","270","Relay"
"RLY3","RELAY_HR91C_24V","TopLayer","HR91C","23.0001","-27.0201","270","Relay"
"R8F","3K","TopLayer","RES-1608","22.0000","24.5000","90","Register"
"R8E","3K","TopLayer","RES-1608","41.0000","24.5000","90","Register"
"R8D","3K","TopLayer","RES-1608","60.0000","24.5000","90","Register"
"R8C","3K","TopLayer","RES-1608","79.0000","24.5000","90","Register"
"R8B","3K","TopLayer","RES-1608","98.0000","24.5000","90","Register"
"R8A","3K","TopLayer","RES-1608","117.0000","24.5000","90","Register"
"J1","TBP03R2-350-09BE","TopLayer","CUI_TBP03R2-350-09BE","57.0000","-42.7500","0","Connector"
"U6P","HX720,AVIAIC","TopLayer","SOIC-8","-9.0000","-14.0000","90","IC"
"U6O","HX720,AVIAIC","TopLayer","SOIC-8","-9.0000","0.0000","90","IC"
"U6N","HX720,AVIAIC","TopLayer","SOIC-8","-25.5000","-14.0000","90","IC"
"U6M","HX720,AVIAIC","TopLayer","SOIC-8","-25.5000","0.0000","90","IC"
"U6L","HX720,AVIAIC","TopLayer","SOIC-8","-42.0000","-14.0000","90","IC"
"U6K","HX720,AVIAIC","TopLayer","SOIC-8","-42.0000","0.0000","90","IC"
"U6J","HX720,AVIAIC","TopLayer","SOIC-8","-58.5000","-14.0000","90","IC"
"U6I","HX720,AVIAIC","TopLayer","SOIC-8","-58.5000","0.0000","90","IC"
"R26P","200R","TopLayer","RES-1608","-1.7500","-12.0000","180","Register"
"R26O","200R","TopLayer","RES-1608","-1.7500","2.0000","180","Register"
"R26N","200R","TopLayer","RES-1608","-18.2500","-12.0000","180","Register"
"R26M","200R","TopLayer","RES-1608","-18.2500","2.0000","180","Register"
"R26L","200R","TopLayer","RES-1608","-34.7500","-12.0000","180","Register"
"R26K","200R","TopLayer","RES-1608","-34.7500","2.0000","180","Register"
"R26J","200R","TopLayer","RES-1608","-51.2500","-12.0000","180","Register"
"R26I","200R","TopLayer","RES-1608","-51.2500","2.0000","180","Register"
"R25P","200R","TopLayer","RES-1608","-1.7500","-13.5000","180","Register"
"R25O","200R","TopLayer","RES-1608","-1.7500","0.5000","180","Register"
"R25N","200R","TopLayer","RES-1608","-18.2500","-13.5000","180","Register"
"R25M","200R","TopLayer","RES-1608","-18.2500","0.5000","180","Register"
"R25L","200R","TopLayer","RES-1608","-34.7500","-13.5000","180","Register"
"R25K","200R","TopLayer","RES-1608","-34.7500","0.5000","180","Register"
"R25J","200R","TopLayer","RES-1608","-51.2500","-13.5000","180","Register"
"R25I","200R","TopLayer","RES-1608","-51.2500","0.5000","180","Register"
"C18P","100NF","TopLayer","CAP-1608","-4.0000","-12.7500","270","Capacitor"
"C18O","100NF","TopLayer","CAP-1608","-4.0000","1.2500","270","Capacitor"
"C18N","100NF","TopLayer","CAP-1608","-20.5000","-12.7500","270","Capacitor"
"C18M","100NF","TopLayer","CAP-1608","-20.5000","1.2500","270","Capacitor"
"C18L","100NF","TopLayer","CAP-1608","-37.0000","-12.7500","270","Capacitor"
"C18K","100NF","TopLayer","CAP-1608","-37.0000","1.2500","270","Capacitor"
"C18J","100NF","TopLayer","CAP-1608","-53.5000","-12.7500","270","Capacitor"
"C18I","100NF","TopLayer","CAP-1608","-53.5000","1.2500","270","Capacitor"
"U13","MCP1700T-3302E/TT","TopLayer","SOT-23","-86.7500","16.0000","90","Regulator"
"C49","12PF","TopLayer","CAP-1608","62.5000","-0.7500","270","Capacitor"
"C48","12PF","TopLayer","CAP-1608","62.5000","2.2500","90","Capacitor"
"CN1","USB4120-03-C_","TopLayer","GCT_USB4120-03-C_REVA","-115.0000","22.0000","270","USB TYPE-C"
"U12B","TLP291-4","TopLayer","TLP281-4","-101.0000","-11.5000","180","IC"
"U12A","TLP291-4","TopLayer","TLP281-4","-115.5000","-11.5000","180","IC"
"U11B","74HC165","TopLayer","SOIC-16","-24.2501","25.5017","180","IC"
"U11A","74HC165","TopLayer","SOIC-16","-38.2501","25.5017","180","IC"
"R70B","47K","TopLayer","RES-1608","-22.0000","32.5000","270","Register"
"R70A","47K","TopLayer","RES-1608","-36.0000","32.5000","270","Register"
"R69B","47K","TopLayer","RES-1608","-23.5000","32.5000","270","Register"
"R69A","47K","TopLayer","RES-1608","-37.5000","32.5000","270","Register"
"R68B","47K","TopLayer","RES-1608","-25.0000","32.5000","270","Register"
"R68A","47K","TopLayer","RES-1608","-39.0000","32.5000","270","Register"
"R67B","47K","TopLayer","RES-1608","-26.5000","32.5000","270","Register"
"R67A","47K","TopLayer","RES-1608","-40.5000","32.5000","270","Register"
"R66B","4.7K","TopLayer","RES-1608","-94.0000","-16.5000","0","Register"
"R66A","4.7K","TopLayer","RES-1608","-108.5000","-16.5000","0","Register"
